country_of_citizenship,year,iso3c,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Slovakia,2022,SVK,2,3.0,115.584743573553,2.5954982528389943
Vietnam,2022,VNM,7,21.2,410.324028883325,5.166648430922915
Singapore,2022,SGP,26,106.7,498.47454098778,21.405305833385725
Finland,2022,FIN,7,12.6,281.887430795721,4.46986939589052
Morocco,2022,MAR,2,3.3,130.91255882984,2.520766555552043
France,2022,FRA,43,550.0,2779.09223650585,19.790634969766764
Nepal,2022,NPL,1,1.5,41.18293960067,3.642284923186
Georgia,2022,GEO,2,6.699999999999999,24.984568959605,26.816552292066937
Israel,2022,ISR,30,112.6,525.002447652773,21.44751905508669
Netherlands,2022,NLD,22,76.0,506.2362796792564,15.012752552652378
Algeria,2022,DZA,1,5.1,225.560256621757,2.26103661894312
Russia,2022,RUS,78,291.0,2266.02924064534,12.841846644358677
Germany,2022,DEU,134,608.0,4082.46949079768,14.892946569974292
Romania,2022,ROU,6,10.2,298.891515898026,3.412609410927533
Greece,2022,GRC,3,7.8,217.58132451205898,3.5848664941681156
Ireland,2022,IRL,9,54.8,533.1400118382761,10.278725809951618
Qatar,2022,QAT,2,3.3,235.7704037349,1.3996667723021405
Norway,2022,NOR,13,40.9,593.726965415619,6.8886882999106
India,2022,IND,166,749.8,3353.47049688595,22.35892639271072
Venezuela,2022,VEN,1,3.5,,
Iceland,2022,ISL,2,3.6,28.7018304016837,12.542754066962981
Peru,2022,PER,3,7.800000000000001,246.48875763621103,3.1644445267203225
Nigeria,2022,NGA,6,56.4,244.02922481911716,23.111985886856633
Monaco,2022,MCO,4,15.100000000000001,8.784002931686649,171.90340346460468
Indonesia,2022,IDN,30,115.1,1319.07626731016,8.725803264940104
Philippines,2022,PHL,17,43.2,404.353369604631,10.683724496284064
Chile,2022,CHL,7,38.6,302.11653940903005,12.776526593183357
Poland,2022,POL,7,20.8,689.763329458441,3.0155270817790294
Guernsey,2022,GGY,1,2.5,,
Portugal,2022,PRT,1,4.7,255.196659934378,1.841716894417259
New Zealand,2022,NZL,3,13.2,246.733522841353,5.34990132187569
Hungary,2022,HUN,2,2.5,177.00612862462702,1.4123804748601076
Eswatini (Swaziland),2022,SWZ,1,5.3,4.79092278870864,110.62586966525876
Italy,2022,ITA,52,194.5,2066.9720965537,9.409899646168101
Malaysia,2022,MYS,17,63.1,407.027451714616,15.502639867210247
Czech Republic,2022,CZE,9,49.0,290.565654835809,16.863658586108052
Spain,2022,ESP,27,116.0,1417.80046626265,8.181687251505728
Estonia,2022,EST,1,1.2,37.9214808815429,3.1644333820941646
St. Kitts and Nevis,2022,KNA,1,1.5,0.98142962962963,152.83826315352505
United States,2022,USA,735,4701.1,25744.108,18.260877401539805
Cyprus,2022,CYP,8,27.2,29.2505320200746,92.98976162666948
Kazakhstan,2022,KAZ,6,19.8,225.496328925494,8.780630750996437
Macau,2022,MAC,1,1.9,,
Lebanon,2022,LBN,6,12.6,20.9924219488081,60.02165939083269
Zimbabwe,2022,ZWE,1,3.0,27.3666271530954,10.962256997244449
Colombia,2022,COL,4,24.1,345.32987507851203,6.978834366566396
China,2022,CHN,539,1962.45,17881.783387000898,10.974576514703765
Switzerland,2022,CHE,41,181.9,818.42655020645,22.22557417695153
Liechtenstein,2022,LIE,1,2.3,7.36465451513984,31.230249773044886
Sweden,2022,SWE,45,165.70000000000002,590.409594949102,28.065262051556708
